,latitude,longitude,start_time,city_name,title,url,venue_name,venue_address,postal_code,all_day,calendar_count,comment_count
53,47.5667,7.6,2019-09-06 21:30:00,Basel,"Dave Eleanor (ZH, CH) · Tommy Lobo (Berlin, DE) · Le twist mediterranéen aka DJs RPM und Vincent Vega (CH)",http://eventful.com/events/dave-eleanor-zh-ch-tommy-lobo-berlin-le-twist-mediterrane-/E0-001-130087711-9?utm_source=apis&utm_medium=apim&utm_campaign=apic,HUMBUG,,,0,,
54,47.5667,7.6,2019-09-07 19:00:00,Basel,Quickly Make Money Online - Online Webinar Basel,http://eventful.com/events/quickly-make-money-online-online-we-/E0-001-128312936-4@2019090719?utm_source=apis&utm_medium=apim&utm_campaign=apic,Museum of Contemporary Art,60 Sankt Alban-Rheinweg,,0,,
55,47.5667,7.6,2019-09-07 19:00:00,Basel,Round Table on International HR Topics,http://eventful.com/events/round-table-international-hr-topics-/E0-001-130283395-1@2019090719?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
56,47.5672561,7.5593742,2019-09-07 21:00:00,Basel,"Lindy Hop Party, BS",http://eventful.com/events/lindy-hop-party-bs-/E0-001-129351492-3?utm_source=apis&utm_medium=apim&utm_campaign=apic,Gemeindesaal St. Theodor,Claragraben 43,,0,,
57,47.5667,7.6,2019-09-07 14:00:00,Basel,Phase 1: Success recruitment with reduced risk and cost,http://eventful.com/events/phase-1-success-recruitment-reduced-/E0-001-129704907-4@2019090714?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
58,47.5667,7.6,2019-09-07 14:00:00,Basel,Phase 3: Success employee expatriation and internationalized teambuilding with reduced risk and cost,http://eventful.com/events/phase-3-success-employee-expatriatio-/E0-001-129704946-3@2019090714?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
59,47.5667,7.6,2019-09-07 14:00:00,Basel,Phase 2: Success employee integration with effective actions and reduced cost,http://eventful.com/events/phase-2-success-employee-integration-/E0-001-129704928-7@2019090714?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
60,47.5667,7.6,2019-09-07 14:00:00,Basel,Phase 5: Success daily cross service collaboration for better productivity,http://eventful.com/events/phase-5-success-daily-cross-service-/E0-001-129705008-9@2019090714?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
61,47.5667,7.6,2019-09-07 19:00:00,Basel,People & Travel,http://eventful.com/events/people-travel-/E0-001-130274267-7@2019090719?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA Basel,,,0,,
62,47.5667,7.6,2019-09-07 14:00:00,Basel,Phase 4: Success employee integration from day one following merger and acquisition,http://eventful.com/events/phase-4-success-employee-integration-/E0-001-129704976-4@2019090714?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
63,47.5667,7.6,2019-09-08 19:00:00,Basel,Quickly Make Money Online - Online Webinar Basel,http://eventful.com/events/quickly-make-money-online-online-we-/E0-001-128312936-4@2019090819?utm_source=apis&utm_medium=apim&utm_campaign=apic,Museum of Contemporary Art,60 Sankt Alban-Rheinweg,,0,,
64,47.5667,7.6,2019-09-08 19:00:00,Basel,Round Table on International HR Topics,http://eventful.com/events/round-table-international-hr-topics-/E0-001-130283395-1@2019090819?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
65,47.5689343,7.590349900000001,2019-09-08 00:00:00,Basel,"Four to the Floor, BS",http://eventful.com/events/four-floor-bs-/E0-001-129351487-1?utm_source=apis&utm_medium=apim&utm_campaign=apic,Restaurant Union,Klybeckstrasse 95,,2,,
66,47.5667,7.6,2019-09-08 14:00:00,Basel,Phase 1: Success recruitment with reduced risk and cost,http://eventful.com/events/phase-1-success-recruitment-reduced-/E0-001-129704907-4@2019090814?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
67,47.5667,7.6,2019-09-08 14:00:00,Basel,Phase 3: Success employee expatriation and internationalized teambuilding with reduced risk and cost,http://eventful.com/events/phase-3-success-employee-expatriatio-/E0-001-129704946-3@2019090814?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
68,47.5667,7.6,2019-09-08 14:00:00,Basel,Phase 2: Success employee integration with effective actions and reduced cost,http://eventful.com/events/phase-2-success-employee-integration-/E0-001-129704928-7@2019090814?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
69,47.5667,7.6,2019-09-08 14:00:00,Basel,Phase 5: Success daily cross service collaboration for better productivity,http://eventful.com/events/phase-5-success-daily-cross-service-/E0-001-129705008-9@2019090814?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
70,47.5667,7.6,2019-09-08 19:00:00,Basel,People & Travel,http://eventful.com/events/people-travel-/E0-001-130274267-7@2019090819?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA Basel,,,0,,
71,47.5667,7.6,2019-09-08 14:00:00,Basel,Phase 4: Success employee integration from day one following merger and acquisition,http://eventful.com/events/phase-4-success-employee-integration-/E0-001-129704976-4@2019090814?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
72,47.5667,7.6,2019-09-09 14:00:00,Basel,Phase 5: Success daily cross service collaboration for better productivity,http://eventful.com/events/phase-5-success-daily-cross-service-/E0-001-129705008-9@2019090914?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
73,47.5667,7.6,2019-09-09 14:00:00,Basel,Phase 4: Success employee integration from day one following merger and acquisition,http://eventful.com/events/phase-4-success-employee-integration-/E0-001-129704976-4@2019090914?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
74,47.5667,7.6,2019-09-09 14:00:00,Basel,Phase 1: Success recruitment with reduced risk and cost,http://eventful.com/events/phase-1-success-recruitment-reduced-/E0-001-129704907-4@2019090914?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
75,47.5667,7.6,2019-09-09 14:00:00,Basel,Phase 3: Success employee expatriation and internationalized teambuilding with reduced risk and cost,http://eventful.com/events/phase-3-success-employee-expatriatio-/E0-001-129704946-3@2019090914?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
76,47.5667,7.6,2019-09-09 14:00:00,Basel,Phase 2: Success employee integration with effective actions and reduced cost,http://eventful.com/events/phase-2-success-employee-integration-/E0-001-129704928-7@2019090914?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
77,47.5667,7.6,2019-09-09 19:00:00,Basel,Quickly Make Money Online - Online Webinar Basel,http://eventful.com/events/quickly-make-money-online-online-we-/E0-001-128312936-4@2019090919?utm_source=apis&utm_medium=apim&utm_campaign=apic,Museum of Contemporary Art,60 Sankt Alban-Rheinweg,,0,,
78,47.5667,7.6,2019-09-09 19:00:00,Basel,People & Travel,http://eventful.com/events/people-travel-/E0-001-130274267-7@2019090919?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA Basel,,,0,,
79,47.5667,7.6,2019-09-09 19:00:00,Basel,Round Table on International HR Topics,http://eventful.com/events/round-table-international-hr-topics-/E0-001-130283395-1@2019090919?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
80,47.5667,7.6,2019-09-10 19:00:00,Basel,People & Travel,http://eventful.com/events/people-travel-/E0-001-130274267-7@2019091019?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA Basel,,,0,,
81,47.5667,7.6,2019-09-10 14:30:00,Basel,Music Together Pop-Up Family Jam,http://eventful.com/events/music-together-popup-family-jam-/E0-001-130227749-2?utm_source=apis&utm_medium=apim&utm_campaign=apic,The Looking Glass,1 Feldbergstrasse,,0,,
82,47.5667,7.6,2019-09-10 19:00:00,Basel,Round Table on International HR Topics,http://eventful.com/events/round-table-international-hr-topics-/E0-001-130283395-1@2019091019?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
83,47.5667,7.6,2019-09-10 19:00:00,Basel,Quickly Make Money Online - Online Webinar Basel,http://eventful.com/events/quickly-make-money-online-online-we-/E0-001-128312936-4@2019091019?utm_source=apis&utm_medium=apim&utm_campaign=apic,Museum of Contemporary Art,60 Sankt Alban-Rheinweg,,0,,
